Data;CodigoDoOriginador;idDoRegistro;debitoAutomaticoCC;coobrigacao;caracteristicaEspecial;modalidadeDaOperacao;naturezaDaOperacao;origemDoRecurso;classeRiscoDaOperacao;zeros;numeroDeControleDoParticipante;numeroDoBanco;zeros2;idDoTituloNoBanco;digitoDoNossoNumero;valorPago;condicaoParaEmissaoDaPapeletaDeCobranca;idSeEmitePapeletaParaDebitoAutomatico;dataDaLiquidacao;idDaOperacaoDoBanco;indicadorRateioCredito;enderecamentoParaAvisoDoDebitoAutomaticoEmCC;branco;idOcorrencia;numeroDoDocumento;dataDoVencimentoDoTitulo;valorDoTitulo;bancoEncarregadoDaCobranca;agenciaDepositaria;especieDeTitulo;identificacao;dataDaEmissaoDoTitulo;primeiraInstrucao;segundaInstrucao;zeros3;numeroDoTermoDeCessao;valorPresenteDaParcela;valorDoAbatimento;identificacaoDoTipoDeInscricaoDoSacado;numeroDeInscricaoDoSacado;nomeDoSacado;enderecoCompletoDoSacado;numeroDaNotaFiscalDaDuplicata;numeroDaSerieDaNotaFiscalDaDuplicata;cep;nomeCedente;cadastroCedente;chaveDaNota;seqDoRegistro
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548907 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8192-03   ;150615;0000000034912;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000031459;0000000000000;02;48219471000111;COMERCIAL E INSTALADORA ELETRICA J J CES;R DOUTOR CESAR,972                      ;000008192;001;02013003;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081921428537514;000002
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548883 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8205-02   ;090615;0000000067300;000;00000;01; ;200415;00;0;02000000000000;0000000000000000333;0000000061346;0000000000000;02;60224375000167;ELETRO AMERICA LTDA - EPP               ;R FAUSTOLO,935                          ;000008205;001;05041000;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000082051272292706;000003
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548904 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8193-03   ;050615;0000000045333;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000041480;0000000000000;02;45037629000144;ELETRICA SILVEIRA LTDA                  ;R CORONEL ALFREDO FLAQUER,672           ;000008193;001;09020041;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081931719282188;000004
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548901 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8194-03   ;050615;0000000083368;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000076283;0000000000000;02;04004097000161;ELETRICA INTERLUZ LTDA ME               ;R SEBASTIAO SAMPAIO,970                 ;000008194;001;14160600;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081941739982573;000005
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548912 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8189-03   ;050615;0000000090667;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000082961;0000000000000;02;96238191000101;FERRAGENS VILA RE LTDA - EPP            ;R ITINGUCU,1483                         ;000008189;001;03658011;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081891996026019;000006
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548933 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8177-03   ;050615;0000000062884;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000057540;0000000000000;02;39045307000144;MASCARO LAR E CONSTRUCAO LTDA           ;AV BRIGADEIRO LUIS ANTONIO,1746         ;000008177;001;01318002;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081771389288435;000007
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548921 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8183-04   ;040615;0000000034000;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000031110;0000000000000;02;55716211000117;ITU LUSTRES LTDA                        ;R TUIUTI,490                            ;000008183;001;13339010;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081831563809749;000008
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548881 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8206-03   ;010615;0000000070833;000;00000;01; ;200415;00;0;02000000000000;0000000000000000333;0000000065551;0000000000000;02;48050330000118;DONKE MATERIAIS PARA CONSTRUCAO LTDA - M;R CARNEIRO DA CUNHA,637                 ;000008206;001;04144001;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000082061276484526;000009
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548887 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8202-02   ;010615;0000000068000;000;00000;01; ;200415;00;0;02000000000000;0000000000000000333;0000000062929;0000000000000;02;61668513000160;LOJA DE FERRAGENS MACHADODE ASSIS LTDA -;R MACHADO DE ASSIS,435                  ;000008202;001;04106011;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000082021330922663;000010
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548916 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8186-01   ;310515;0000000183600;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000169907;0000000000000;02;07716473000139;FF GUARULHOS COMERCIO DE MATERIAIS ELETR;AV SETE DE SETEMBRO,2018                ;000008186;001;07064002;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081861480032439;000011
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548906 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8192-02   ;310515;0000000034912;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000032308;0000000000000;02;48219471000111;COMERCIAL E INSTALADORA ELETRICA J J CES;R DOUTOR CESAR,972                      ;000008192;001;02013003;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081921428537514;000012
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548920 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8183-03   ;280515;0000000034000;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000031700;0000000000000;02;55716211000117;ITU LUSTRES LTDA                        ;R TUIUTI,490                            ;000008183;001;13339010;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081831563809749;000013
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548935 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8176-02   ;280515;0000000048433;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000045156;0000000000000;02;63967590000146;COMERCIAL ALTERNATIVA MATERIAIS ELETRICO;AV MIGUEL STEFANO,2060                  ;000008176;001;04301001;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081761736580441;000014
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548926 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8181-03   ;280515;0000000055833;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000052056;0000000000000;02;03941359000151;LOGOS DE CAMPINAS EQUIPAMENTOS ELETRICOS;R MANOEL FRANCISCO MENDES,433           ;000008181;001;13030110;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081811707178231;000015
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548896 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8196-03   ;280515;0000000034000;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000031700;0000000000000;02;49823016000193;ELETRICA DISWAL LTDA EPP                ;R ACRE, DO,391/397                      ;000008196;001;03181100;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081961274321311;000016
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548903 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8193-02   ;260515;0000000045333;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000042424;0000000000000;02;45037629000144;ELETRICA SILVEIRA LTDA                  ;R CORONEL ALFREDO FLAQUER,672           ;000008193;001;09020041;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081931719282188;000017
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548900 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8194-02   ;260515;0000000083368;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000078018;0000000000000;02;04004097000161;ELETRICA INTERLUZ LTDA ME               ;R SEBASTIAO SAMPAIO,970                 ;000008194;001;14160600;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081941739982573;000018
20/04/15;1050;1;                   ;01;35;0301;04;0199;AA;0;R00000548932 01 01 00001 ;000;00000;00000000000;0;0000000000;1;N;000000;    ; ;2;  ;84;8177-02   ;260515;0000000062884;000;00000;01; ;160415;00;0;02000000000000;0000000000000000333;0000000058849;0000000000000;02;39045307000144;MASCARO LAR E CONSTRUCAO LTDA           ;AV BRIGADEIRO LUIS ANTONIO,1746         ;000008177;001;01318002;ATW DISTRIBUIDORA DE MATERIAL ELETRICO - EIREL;07710496000136;35150407710496000136550010000081771389288435;000019
